Group,People,Members,Segment,Roles,Mappings
GHO_COSEC_GUTHRIE_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_COSEC_SDGI_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_EG_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GC_BRANDCOMMS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GC_EP_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GC_STRATCOMMS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GMB_PMB2C_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GMB_SCM_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GMB_STRATCOMMS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GOS_ASP_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GOS_CO_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GOS_GOVTREL_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_GOS_WMU_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_IR_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GCA_YG_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_CF_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_CONSOL_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_CORU_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_GIT_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_GPROC_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
