Group,People,Members,Segment,Roles,Mappings
GHO_COSEC_GUTHRIE_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_COSEC_SDGI_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_EG_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GC_BRANDCOMMS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GC_EP_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GC_STRATCOMMS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GMB_PMB2C_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GMB_SCM_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GMB_STRATCOMMS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GOS_ASP_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GOS_CO_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GOS_GOVTREL_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_GOS_WMU_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_IR_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GCA_YG_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GF_CF_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
