"Title","GroupId","GroupName","Segment","UnitTermGuid","Role","Scope","Target"
"DMS_GHO_GF_CORU_UPL","53","DMS_GHO_GF_CORU_UPL","08dd94cb-f76c-431c-9b37-e9c98f739ffc","3be3e50c-b90a-4187-9915-85f4a5f1eb49","UPL","Folder",
"DMS_APR","45","DMS_APR",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GHO_GF_CORU","52","DMS_GHO_GF_CORU",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GHO_GF_CORU_UPL","53","DMS_GHO_GF_CORU_UPL",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GHO_GF_DELS","48","DMS_GHO_GF_DELS",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GHO_GF_FLS_UPL","27","DMS_GHO_GF_FLS_UPL",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GHO_GF_FO_MEMBER","33","DMS_GHO_GF_FO_MEMBER",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GHO_GF_FO_UPL","31","DMS_GHO_GF_FO_UPL",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GHO_GHR_HRHO_UPL","43","DMS_GHO_GHR_HRHO_UPL",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GLOBAL","51","DMS_GLOBAL",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_GLOBAL_READER","30","DMS_GLOBAL_READER",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_MHO_COA_EF_APR","39","DMS_MHO_COA_EF_APR",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_MHO_COA_EF_MEMBER","37","DMS_MHO_COA_EF_MEMBER",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_MHO_COA_EF_UPL","38","DMS_MHO_COA_EF_UPL",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_MHO_SEGVIEW","49","DMS_MHO_SEGVIEW",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_NBPOL_COOO_COOO_UPL","42","DMS_NBPOL_COOO_COOO_UPL",,,"ENTRY","Page","Upload-Form.aspx"
"DMS_UPL","41","DMS_UPL",,,"ENTRY","Page","Upload-Form.aspx"
"Limited Access System Group","26","Limited Access System Group",,,"ENTRY","Page","Upload-Form.aspx"
"Limited Access System Group For List 7e0b2a2c-2a69-4ce9-af63-7c1020a14c81","15","Limited Access System Group For List 7e0b2a2c-2a69-4ce9-af63-7c1020a14c81",,,"ENTRY","Page","Upload-Form.aspx"
"Limited Access System Group For Web a3dd112a-813d-4e06-bb54-9488cb24554b","16","Limited Access System Group For Web a3dd112a-813d-4e06-bb54-9488cb24554b",,,"ENTRY","Page","Upload-Form.aspx"
"SharingLinks.c48fd492-8a59-4a53-ad8f-1db3156c73a3.OrganizationEdit.4746937d-2024-4667-a08f-7a104a2965af","24","SharingLinks.c48fd492-8a59-4a53-ad8f-1db3156c73a3.OrganizationEdit.4746937d-2024-4667-a08f-7a104a2965af",,,"ENTRY","Page","Upload-Form.aspx"
,,,,,,,
