"Title","TermGuid","Abbreviation","Level"
"Group Corporate Affairs","fdafa271-f725-43e0-b227-b646cfd05f5d","GCA","Department"
"Elaeis Garden (Hospitality)","a9d818bd-a4af-4cf5-afe3-eb3a21edb74c","EG","Unit"
"Group Communications - Brand Communications","0c3407d9-4cc3-4906-bf05-656dc1dd6b56","GC_BRANDCOMMS","Unit"
"Group Communications - Strategic Communications","cd5880c7-22bd-47b3-8239-4245c88ac27c","GC_STRATCOMMS","Unit"
"Group Operation Services - Agri Sumber Prestari","de83eeeb-67bd-4301-8786-5765dbebb974","GOS_ASP","Unit"
"Group Operation Services - Chairman Office","23b464ee-0ff5-4071-8562-c79c7c85184b","GOS_CO","Unit"
"Group Operation Services - Government Relations","e31dc16c-9015-4e46-9cff-3634a65695ad","GOS_GOVTREL","Unit"
"Group Operation Services - Workforce Management Unit","4a0f86bc-5366-4938-b992-87ae73497ecc","GOS_WMU","Unit"
"Investor Relations","92419c55-ae4e-4386-b4ac-3a85b70af1fe","IR","Unit"
"Yayasan Guthrie","1bc57f44-20c1-41d3-9b22-e77b4d0f95fa","YG","Unit"
"Group Corporate Secretarial","5dc068f6-a066-48cc-b7e4-d25a7c376441","COSEC","Department"
"Guthrie","4efcca89-75ad-49e2-8269-b180d967f232","GUTHRIE","Unit"
"SDGI","54fa664e-4393-4e83-8bb0-bc77257305a3","SDGI","Unit"
"Group Finance","9aef23bf-62a9-4ff9-aaad-d02fc90e5eaf","GF","Department"
"Finance Operations","885d325f-fda7-4d84-bbe6-d4357422ab6d","FINOPS","Unit"
"Finance Upstream Malaysia","d2cf2619-8463-46d9-8a96-284b2abe18f6","FINUPMY","Unit"
"Global Strategic Procurement","f5ee776c-500e-4f69-a4ea-01666223749a","GSTRATPROC","Unit"
"Tax","5aae2799-035d-4548-85bb-0d999e9fd1b2","TAX","Unit"
"Treasury","81388291-3695-4136-a610-0fad82c31290","TREASURY","Unit"
"Group Human Resources","11297d0b-56f6-4635-943c-160775e39d1f","GHR","Department"
"Group Sustainability","418d51df-183c-481f-a80e-d4c71ce46de6","GS","Department"
"Global HSE","0bea9185-1d9d-4457-803a-0d07494f98ae","GLOBALHSE","Unit"
"Sustainability Compliance","8817a737-bee2-4c1a-b920-b7f740121c4b","SC","Unit"
"Sustainability Head Office","50b81bb0-bcc8-40b2-ba77-6099e8291d81","SUS_HO","Unit"
"Traceability","52099463-e8cf-4c63-809f-a2e60e5c1fa4","TRACEABILITY","Unit"
"President's Office","c76a5886-8b72-4271-9f34-4cd1f9f808f6","PO","Department"
"Strategic Planning","04733ac7-8c7c-4ab3-8c51-8e4e3ed1f229","SP","Unit"
"Strategy Partner Downstream","806ff773-1c1a-4537-a539-64e1625fd6e9","SPDNSTRM","Unit"
"CEO Office Administration","d1ad04dc-ed4a-45d1-b028-f56feca12786","CEOOA","Department"
"Expatriate Formalities","bea51895-a2c4-49e9-bdff-326afa9cc0ad","EXPATF","Unit"
"Corporate Communication","0f121fdd-16d0-463f-9792-dfaa4f387ae4","CORPCOMM","Department"
"Corporate Services","9438e1b7-c703-46b0-a047-d73f4866566a","CS","Department"
"Government Relations","eece0acf-7027-404b-997c-2a49a6a9d85d","GOVTREL","Unit"
"Land Regulation","b4609380-f5a1-4743-b81e-e593c02a2172","LANDREL","Unit"
"Minority Shareholder Relation","d9da42d9-46da-49d3-9635-d08d8aa037ce","MSR","Unit"
"Partnership Development","cf6f0615-f836-490b-8edf-b1002fe1a757","PARTDEV","Unit"
"General Accounting","472aa3be-aeba-428c-9c1e-28112ccad374","GA","Department"
"Asset Management","48db4920-36db-4d17-9fd1-ee359422ed65","AM","Unit"
"General Ledger","25139605-5851-4b85-bcc0-009b5680e6a0","GL","Unit"
"Tax Compliance","7a0f0f1e-58bf-466b-89a8-1c43f60d0c88","TAX","Unit"
"Group Compliance","70ba4f7d-35e2-469e-93dc-1ac4fabf483b","GCO","Department"
"Group Compliance","c718104b-cefa-4974-9bc7-0945ad1aabb5","GCO","Unit"
"Group Corporate Assurance","7f79e93c-67be-48c7-b26c-5112459e9859","GCA","Department"
"Practice Management","0073f304-c377-46e0-9f72-8b49d77951b9","PM","Unit"
"Human Resource Management","45a8fe0f-ba44-428a-b65d-6438a15eee5b","HRM","Department"
"HR Business Partner and Industrial Relations","653bb00c-712f-4f11-9d9f-75e75b25da99","HRBP_IR","Unit"
"HR Rewards, Services, and Performance","307b1366-e47f-4e05-b8d4-85328272e8bc","HRRSP","Unit"
"Organisation Development and Talent Management","7258d52d-3726-4c8f-8da5-2c1d9c254f98","ODTM","Unit"
"Information Technology Services","3c353826-6257-4a15-beaf-1e2e2be52b8b","ITS","Department"
"Plantation Operation","9a84aeb8-1411-47da-826e-f5dd492133b3","POP","Department"
"Estate Report","e75b5231-1bde-4356-a321-f96f951f5b25","ER","Unit"
"Management Report","ddfdfdeb-c17f-4995-9bed-e38ad50df1b0","MR","Unit"
"Mill Report","b3c11e79-d01f-42af-86d9-4d42dff4b289","MILLR","Unit"
"Task Force Operation","3c3aa229-4652-486e-8712-4ac98820105c","TFO","Unit"
"Risk Management","9581600b-9c0d-4368-a765-842533a35635","GRM","Department"
"Risk Management","8f6a1547-534c-4ec7-846a-f0a81d895801","GRM","Unit"
"Supply Chain","dcebf09e-45d5-4f26-94df-a0132655db77","SC","Department"
"Logistics","12eddf2a-1e79-4ff0-8755-fe85042acec5","LOGS","Unit"
"Procurement","ebbe341e-cba9-4133-9e0b-5095d12a166b","PROC","Unit"
"Sustainability","77e22ddb-60be-4c8f-8d92-60e1ec09be38","SUS","Department"
"Health, Safety, and Environment","8989a99d-eeab-4552-b2ff-5e194e0f8069","HSE","Unit"
"Taxation","6e22207c-4934-484f-b88d-e0979a4e14f3","TAX","Department"
"Taxation","66895f47-52ef-4204-8f24-b173187707c6","TAX","Unit"
"Treasury","d18163cb-3545-41a0-9fd3-118afdc9f4c3","TREAS","Department"
"Account Payable","f24971be-ff8a-4cec-9096-f90929af0652","AC","Unit"
"Funding Operations","f1e435f7-e916-4791-b002-679854b112b7","FO","Unit"
"Insurance Management","bfd570ff-2d10-44fa-8476-e8567ad70ba7","INSURM","Unit"
"Payment","75760094-5fa5-4602-ba29-f0dcad69ae0f","PAYMENT","Unit"
"Upstream Productivity","a4eb3cc9-605d-454b-8ae3-3ebf9cad8052","UPPROD","Department"
"Upstream Productivity","8996a363-fa87-4f7b-a24d-a5306152b194","UPPROD","Unit"
"Value Creation / Value Transformation","6cdee125-fe92-4c58-8a71-5bfefd6873da","VCVT","Department"
"Value Creation / Value Transformation","ecd5fc18-9809-4641-af8a-41f2990474df","VCVT","Unit"
"Chief Operating Officer's Office","33ec171e-2e3a-4b33-9fee-d9eff1fb2d0d","COO","Department"
"Chief Operating Officer's Office","6bda31e0-20b3-42ec-9cd1-b4e4acb15f6f","COO","Unit"
"Commercial","d065bb05-91e5-4f11-8ae8-38570e6b65e8","COMMERCIAL","Department"
"Commercial","d9cb6423-2e80-49dc-942a-a0835355ac0a","COMMERCIAL","Unit"
"Finance","bff57ff3-5083-437e-88cc-fe505d6a7078","FIN","Department"
"Finance Reporting","5f718774-e1ef-4414-8bf3-d2dc63fc2080","REPORTING","Unit"
"Global Marketing ＆ Branding - Product Marketing B2C","6edfe836-2306-49a4-b334-58eaead43265","GMB_PMB2C","Unit"
"Global Marketing ＆ Branding - Strategic ＆ Customer Marketing","09cf74b9-8634-4354-bad8-8311f030cd8e","GMB_SCM","Unit"
"Global Marketing ＆ Branding - Strategic Communications","4e09efdc-3c6f-4aa9-800d-4bb20a856237","GMB_STRATCOMMS","Unit"
"Group Communications - Events ＆ Protocol","529e0805-62a4-4cf3-a59e-9b672bbc6a83","GC_EP","Unit"
"Compliance ＆ Operational Risk (CORU)","3be3e50c-b90a-4187-9915-85f4a5f1eb49","CORU","Unit"
"Finance Land ＆ SDGRE","59304874-9923-4db0-8450-f9fa41579e23","LAND_SDGRE","Unit"
"Group IT ＆ Projects","f88bf189-b0bd-4945-830d-d24bb8b3f052","GIT","Unit"
"Strategy ＆ Price Risk Management","481308e8-1dbb-4c1e-8227-e9d2efca7448","STRAT_PRM","Unit"
"HR Head Office ＆ Org Design - HR Head Office (HR HO)","cdf230f1-590c-4a10-a944-784f1dca34cc","HRHO","Unit"
"HR Head Office ＆ Org Design - Org Design","86891401-76d2-456c-a74f-aa844ef58010","HROD","Unit"
"Industrial Relations ＆ Compliance","fc61a7ac-db4d-4b5a-9b1e-b78a86a83ef7","IRC","Unit"
"Org Culture ＆ Workplace Services - Admin ＆ Sports","8e6c55ca-14f9-46cb-b04b-0d99d15e7f2b","OCWS_ANS","Unit"
"Org Culture ＆ Workplace Services - Integrated Facilities Management (IFM)","bbeb723a-650c-4bd3-bbf5-e46175689d74","OCWS_IFM","Unit"
"Org Culture ＆ Workplace Services - Org Culture ＆ Transformation (OCT)","71f2afb2-d35f-4ade-8b73-174f13720373","OCWS_OCT","Unit"
"Performance ＆ Analytics - Analytics","0d1c0e83-b3b7-43a4-93af-d877365e4d9d","ANALYTICS","Unit"
"Performance ＆ Analytics - Performance","0a345d15-e984-4bc9-865c-10528fe4b73b","PERFORMANCE","Unit"
"Rewards ＆ HRIS - GHR Payroll","21e017d1-d200-4c61-bb5a-8d1e9cefd554","PAYROLL","Unit"
"Rewards ＆ HRIS - Nadi HRIS","d92a35bf-d119-4711-8361-58ae66636b5d","NHRIS","Unit"
"Rewards ＆ HRIS - Rewards","ba0c2e1f-d13e-4391-a573-2082837610d9","REWARDS","Unit"
"Talent ＆ Learning - GH Campus","2ee9d55d-f540-4bf0-8dfb-844da70120d2","GHC","Unit"
"Talent ＆ Learning - Learning ＆ Development (L＆D)","73837fde-242a-4e2d-8c04-a1d14b6e3d3f","LND","Unit"
"Talent ＆ Learning - Talent Acquisition (TA)","5f4730e7-45a2-4cdf-b27d-7e5142ad0fc6","TA","Unit"
"Talent ＆ Learning - Talent Management (TM)","629ba6fc-9f82-4997-a02f-4e48a3cdb531","TM","Unit"
