Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Document Type,,,True,,,,,,,,
,,,True,,Agreement,,,,,,
,,,True,,Approval Papers,,,,,,
,,,True,,Audit Report,,,,,,
,,,True,,Audited Financial Statements,,,,,,
,,,True,,Cause Papers,,,,,,
,,,True,,Certificates,,,,,,
,,,True,,Due Diligence Reports,,,,,,
,,,True,,Forms,,,,,,
,,,True,,Internal Policies and Procedures (department/unit/business specific),,,,,,
,,,True,,Inter-Office Mail (IOM),,,,,,
,,,True,,Know Your Customer Questionnaire/ Know Your Counterparty Questionnaire (KYCQ),,,,,,
,,,True,,Land Titles,,,,,,
,,,True,,Legal Opinion,,,,,,
,,,True,,Letter with Government Authorities/Agencies,,,,,,
,,,True,,Letters with Counterparties,,,,,,
,,,True,,Licenses,,,,,,
,,,True,,Power Point Slide Deck,,,,,,
,,,True,,Tax Return,,,,,,
,,,True,,Term Sheet,,,,,,
,,,True,,Working File,,,,,,
