Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Group Head Office,,,True,,,,,,,,
,,,True,,Group Finance,,,,,,
,,,True,,Group Finance,Compliance ＆ Operational Risk (CORU),,,,,
,,,True,,Group Finance,Finance Land ＆ SDGRE,,,,,
,,,True,,Group Finance,Finance Operations,,,,,
,,,True,,Group Finance,Finance Upstream Malaysia,,,,,
,,,True,,Group Finance,Global Strategic Procurement,,,,,
,,,True,,Group Finance,Group IT ＆ Projects,,,,,
,,,True,,Group Finance,Strategy ＆ Price Risk Management,,,,,
,,,True,,Group Finance,Tax,,,,,
,,,True,,Group Finance,Treasury,,,,,
,,,True,,"Group Legal, Risk ＆ Compliance",,,,,,
,,,True,,"Group Legal, Risk ＆ Compliance",Group Compliance (GCO),,,,,
,,,True,,"Group Legal, Risk ＆ Compliance",Group Legal,,,,,
,,,True,,"Group Legal, Risk ＆ Compliance",Group Risk,,,,,
