Business Segment,Department,Unit,Abbreviated Name,Source,Notes
Group Head Office,Group Human Resources,Rewards & HRIS - Rewards,GHO_GHR_REWARDS,Guthrie 22072026,
Group Head Office,Group Human Resources,Rewards & HRIS - Nadi HRIS,GHO_GHR_NHRIS,Guthrie 22072026,
Group Head Office,Group Human Resources,Rewards & HRIS - GHR Payroll,GHO_GHR_PAYROLL,Guthrie 22072026,
Group Head Office,Group Human Resources,Talent & Learning - Talent Strategy (TS),GHO_GHR_TALENTSTRAT,Guthrie 22072026,
Group Head Office,Group Human Resources,Talent & Learning - Talent Management (TM),GHO_GHR_TM,Guthrie 22072026,
Group Head Office,Group Human Resources,Talent & Learning - Talent Acquisition (TA),GHO_GHR_TA,Guthrie 22072026,
Group Head Office,Group Human Resources,Talent & Learning - Learning & Development (L&D),GHO_GHR_LND,Guthrie 22072026,
Group Head Office,Group Human Resources,Talent & Learning - GH Campus,GHO_GHR_GHC,Guthrie 22072026,
Group Head Office,Group Human Resources,Talent & Learning - The Crest,GHO_GHR_THECREST,Guthrie 22072026,
Group Head Office,Group Human Resources,Performance & Analytics - Performance,GHO_GHR_PERFORMANCE,Guthrie 22072026,
Group Head Office,Group Human Resources,Performance & Analytics - Analytics,GHO_GHR_ANALYTICS,Guthrie 22072026,
Group Head Office,Group Human Resources,Industrial Relations & Compliance,GHO_GHR_IRC,Guthrie 22072026,
Group Head Office,Group Human Resources,HR Head Office & Org Design - HR Head Office (HR HO),GHO_GHR_HRHO,Guthrie 22072026,
Group Head Office,Group Human Resources,HR Head Office & Org Design - Org Design,GHO_GHR_HROD,Guthrie 22072026,
Group Head Office,Group Human Resources,Org Culture & Workplace Services - Org Culture & Transformation (OCT),GHO_GHR_OCWS_OCT,Guthrie 22072026,
Group Head Office,Group Human Resources,Org Culture & Workplace Services - Integrated Facilities Management (IFM),GHO_GHR_OCWS_IFM,Guthrie 22072026,
Group Head Office,Group Human Resources,Org Culture & Workplace Services - Admin & Sports,GHO_GHR_OCWS_ANS,Guthrie 22072026,
Group Head Office,Group Finance,Finance Operations,GHO_GF_FINOPS,Guthrie 22072026,
Group Head Office,Group Finance,Finance Upstream Malaysia,GHO_GF_FINUPMY,Guthrie 22072026,
Group Head Office,Group Finance,Tax,GHO_GF_TAX,Guthrie 22072026,
Group Head Office,Group Finance,Treasury,GHO_GF_TREASURY,Guthrie 22072026,
Group Head Office,Group Finance,Finance Land & SDGRE,GHO_GF_LAND_SDGRE,Guthrie 22072026,
Group Head Office,Group Finance,Global Strategic Procurement,GHO_GF_GSTRATPROC,Guthrie 22072026,
Group Head Office,Group Finance,Group IT & Projects,GHO_GF_GIT,Guthrie 22072026,
Group Head Office,Group Finance,Compliance & Operational Risk (CORU),GHO_GF_CORU,Guthrie 22072026,
Group Head Office,Group Finance,Strategy & Price Risk Management,GHO_GF_STRAT_PRM,Guthrie 22072026,
Group Head Office,"Group Legal, Risk & Compliance",Group Legal,GHO_GLRC_LEGAL,Guthrie 22072026,
Group Head Office,"Group Legal, Risk & Compliance",Group Risk,GHO_GLRC_RISK,Guthrie 22072026,
Group Head Office,"Group Legal, Risk & Compliance",Group Compliance (GCO),GHO_GLRC_GCO,Guthrie 22072026,
Group Head Office,President's Office,Strategic Governance & Communications,GHO_PO_STRATGOV_COMMS,Guthrie 22072026,
Group Head Office,President's Office,Strategy Partner Malaysia & Indonesia,GHO_PO_SP_MY_ID,Guthrie 22072026,
Group Head Office,President's Office,Strategy Partner PNG & SI,GHO_PO_SP_PNGSI,Guthrie 22072026,
Group Head Office,President's Office,Strategy Partner Midstream & Investments,GHO_PO_SPMID_INVT,Guthrie 22072026,
Group Head Office,President's Office,Strategy Partner Downstream,GHO_PO_SPDNSTRM,Guthrie 22072026,
Group Head Office,President's Office,Strategic Planning,GHO_PO_SP,Guthrie 22072026,Code GHO_PO_SP overlaps the Strategy Partner prefix - confirm with client
Group Head Office,Group Corporate Affairs,Global Marketing & Branding - Strategic & Customer Marketing,GHO_GCA_GMB_SCM,Guthrie 22072026,
Group Head Office,Group Corporate Affairs,Global Marketing & Branding - Product Marketing B2C,GHO_CGA_GMB_PMB2C,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Global Marketing & Branding - Strategic Communications,GHO_CGA_GMB_STRATCOMMS,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Group Operation Services - Workforce Management Unit,GHO_CGA_GOS_WMU,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Group Operation Services - Agri Sumber Prestari,GHO_CGA_GOS_ASP,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Group Operation Services - Government Relations,GHO_CGA_GOS_GOVTREL,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Group Operation Services - Chairman Office,GHO_CGA_GOS_CO,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Group Communications - Strategic Communications,GHO_CGA_GC_STRATCOMMS,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Group Communications - Brand Communications,GHO_CGA_GC_BRANDCOMMS,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Group Communications - Events & Protocol,GHO_CGA_GC_EP,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Investor Relations,GHO_CGA_IR,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Elaeis Garden (Hospitality),GHO_CGA_EG,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Corporate Affairs,Yayasan Guthrie,GHO_CGA_YG,Guthrie 22072026,GCA/CGA inconsistency in client source
Group Head Office,Group Sustainability,Sustainability Head Office,GHO_GS_SUS_HO,Guthrie 22072026,
Group Head Office,Group Sustainability,Climate Change & Reporting,GHO_GS_CLIMATE_CR,Guthrie 22072026,
Group Head Office,Group Sustainability,Global HSE,GHO_GS_GLOBALHSE,Guthrie 22072026,
Group Head Office,Group Sustainability,Traceability,GHO_GS_TRACEABILITY,Guthrie 22072026,
Group Head Office,Group Sustainability,Sustainability Compliance,GHO_GS_SC,Guthrie 22072026,
Group Head Office,Group Sustainability,Conservation & Biodiversity,GHO_GS_CNB,Guthrie 22072026,
Group Head Office,"Group Integrity, Governance & Assurance",GCA IT & Analytics,GHO_GIGA_GCAIT_ANALYTICS,Guthrie 22072026,
Group Head Office,"Group Integrity, Governance & Assurance",Group Integrity & Governance Unit (GIG),GHO_GIGA_GIG,Guthrie 22072026,
Group Head Office,"Group Integrity, Governance & Assurance",Group Fraud & Corruption Risk Mgmt (GFCRM),GHO_GIGA_GRCRM,Guthrie 22072026,Client code reads GRCRM but the unit acronym is GFCRM - confirm
Group Head Office,"Group Integrity, Governance & Assurance",Practice Management (PM),GHO_GIGA_PM,Guthrie 22072026,
