Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Upstream Operations Malaysia,EXAMPLE TEST DATA - invented estates and mills for testing the New segment tab. Structure is Region then Estate/Mill - exactly 2 levels. Do NOT add a third level or the depth check will refuse the segment.,,True,,,,,,,,
,,,True,,Perak,,,,,,
,,,True,,Perak,Bikam Estate,,,,,
,,,True,,Perak,Chersonese Estate,,,,,
,,,True,,Perak,Flemington Mill,,,,,
,,,True,,Johor,,,,,,
,,,True,,Johor,Bukit Benut Estate,,,,,
,,,True,,Johor,Ulu Remis Estate,,,,,
,,,True,,Johor,Ulu Remis Mill,,,,,
,,,True,,Sabah,,,,,,
,,,True,,Sabah,Merotai Estate,,,,,
,,,True,,Sabah,Binuang Estate,,,,,
,,,True,,Sabah,Merotai Mill,,,,,
,,,True,,Sarawak,,,,,,
,,,True,,Sarawak,Derawan Estate,,,,,
,,,True,,Sarawak,Lavang Mill,,,,,
