"TermGuid","Title","Level","Abbreviation","Segment","Region","EstateOrMill","Notes"
"","Upstream Operations Malaysia","Segment","UPOPSMY","Upstream Operations Malaysia","","","Top folder name. Goes in the Top folder name field on the New segment tab, NOT in this list."
"","Perak","Region","PRK","Upstream Operations Malaysia","Perak","",""
"","Johor","Region","JHR","Upstream Operations Malaysia","Johor","",""
"","Sabah","Region","SBH","Upstream Operations Malaysia","Sabah","",""
"","Sarawak","Region","SWK","Upstream Operations Malaysia","Sarawak","",""
"","Bikam Estate","Estate/Mill","BKM","Upstream Operations Malaysia","Perak","Bikam Estate",""
"","Chersonese Estate","Estate/Mill","CHR","Upstream Operations Malaysia","Perak","Chersonese Estate",""
"","Flemington Mill","Estate/Mill","FLM","Upstream Operations Malaysia","Perak","Flemington Mill",""
"","Bukit Benut Estate","Estate/Mill","BKB","Upstream Operations Malaysia","Johor","Bukit Benut Estate",""
"","Ulu Remis Estate","Estate/Mill","URE","Upstream Operations Malaysia","Johor","Ulu Remis Estate","SIBLING CLASH TEST: same name as Ulu Remis Mill under the same region. E for Estate."
"","Ulu Remis Mill","Estate/Mill","URM","Upstream Operations Malaysia","Johor","Ulu Remis Mill","SIBLING CLASH TEST: M for Mill. Give both the same code and reconciliation aborts before creating anything."
"","Merotai Estate","Estate/Mill","MRE","Upstream Operations Malaysia","Sabah","Merotai Estate","SIBLING CLASH TEST: pairs with Merotai Mill."
"","Binuang Estate","Estate/Mill","BNG","Upstream Operations Malaysia","Sabah","Binuang Estate","MISSING-ABBREVIATION TEST: blank this one to see reconciliation report SKIPPED and create no folder for it."
"","Merotai Mill","Estate/Mill","MRM","Upstream Operations Malaysia","Sabah","Merotai Mill","SIBLING CLASH TEST: pairs with Merotai Estate."
"","Derawan Estate","Estate/Mill","DRW","Upstream Operations Malaysia","Sarawak","Derawan Estate",""
"","Lavang Mill","Estate/Mill","LVG","Upstream Operations Malaysia","Sarawak","Lavang Mill",""
