Segment,SegmentCode,Department,DepartmentCode,Unit,UnitCode,FolderPath,ClientSuppliedCode,Note
Group Head Office,GHO,Group Human Resources,GHR,Rewards ＆ HRIS - Rewards,REWARDS,GHO/GHR/REWARDS,GHO_GHR_REWARDS,trailing space trimmed from label
Group Head Office,GHO,Group Human Resources,GHR,Rewards ＆ HRIS - Nadi HRIS,NHRIS,GHO/GHR/NHRIS,GHO_GHR_NHRIS,
Group Head Office,GHO,Group Human Resources,GHR,Rewards ＆ HRIS - GHR Payroll,PAYROLL,GHO/GHR/PAYROLL,GHO_GHR_PAYROLL,
Group Head Office,GHO,Group Human Resources,GHR,Talent ＆ Learning - Talent Strategy,TS,GHO/GHR/TS,GHO_GHR_TS,
Group Head Office,GHO,Group Human Resources,GHR,Talent ＆ Learning - Talent Management,TM,GHO/GHR/TM,GHO_GHR_TM,
Group Head Office,GHO,Group Human Resources,GHR,Talent ＆ Learning - Talent Acquisition,TA,GHO/GHR/TA,GHO_GHR_TA,
Group Head Office,GHO,Group Human Resources,GHR,Talent ＆ Learning - Learning ＆ Development,LND,GHO/GHR/LND,GHO_GHR_LND,
Group Head Office,GHO,Group Human Resources,GHR,Talent ＆ Learning - GH Campus,GHC,GHO/GHR/GHC,GHO_GHR_GHC,trailing space trimmed from label
Group Head Office,GHO,Group Human Resources,GHR,Talent ＆ Learning - The Crest,THECREST,GHO/GHR/THECREST,GHO_GHR_THECREST,trailing space trimmed from label
Group Head Office,GHO,Group Human Resources,GHR,Performance ＆ Analytics - Performance,PERFORMANCE,GHO/GHR/PERFORMANCE,GHO_GHR_PERFORMANCE,trailing space trimmed from label
Group Head Office,GHO,Group Human Resources,GHR,Performance ＆ Analytics - Analytics,ANALYTICS,GHO/GHR/ANALYTICS,GHO_GHR_ANALYTICS,trailing space trimmed from label
Group Head Office,GHO,Group Human Resources,GHR,Industrial Relations ＆ Compliance,IRC,GHO/GHR/IRC,GHO_GHR_IRC,trailing space trimmed from label
Group Head Office,GHO,Group Human Resources,GHR,HR Head Office ＆ Org Design - HR Head Office,HRHO,GHO/GHR/HRHO,GHO_GHR_HRHO,
Group Head Office,GHO,Group Human Resources,GHR,HR Head Office ＆ Org Design - Org Design,HROD,GHO/GHR/HROD,GHO_GHR_HROD,
Group Head Office,GHO,Group Human Resources,GHR,Org Culture ＆ Workplace Services - Org Culture ＆ Transformation,OCWS_OCT,GHO/GHR/OCWS_OCT,GHO_GHR_OCWS_OCT,
Group Head Office,GHO,Group Human Resources,GHR,Org Culture ＆ Workplace Services - Integrated Facilities Management,OCWS_IFM,GHO/GHR/OCWS_IFM,GHO_GHR_OCWS_IFM,trailing space trimmed from label
Group Head Office,GHO,Group Human Resources,GHR,Org Culture ＆ Workplace Services - Admin ＆ Sports,OCWS_ANS,GHO/GHR/OCWS_ANS,GHO_GHR_OCWS_ANS,trailing space trimmed from label
Group Head Office,GHO,Group Finance,GF,Finance - Upstream Malaysia,UPMY,GHO/GF/UPMY,GHO_GF_UPMY,trailing space trimmed from label
Group Head Office,GHO,Group Finance,GF,Finance - Reporting,REPORTING,GHO/GF/REPORTING,GHO_GF_REPORTING,trailing space trimmed from label
Group Head Office,GHO,Group Finance,GF,Finance - Consolidation,CONSOL,GHO/GF/CONSOL,GHO_GF_CONSOL,
Group Head Office,GHO,Group Finance,GF,Corporate Finance,CF,GHO/GF/CF,GHO_GF_CF,trailing space trimmed from label
Group Head Office,GHO,Group Finance,GF,Tax,TAX,GHO/GF/TAX,GHO_GF_TAX,
Group Head Office,GHO,Group Finance,GF,Treasury,TREASURY,GHO/GF/TREASURY,GHO_GF_TREASURY,
