Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Group Head Office,,,True,,,,,,,,
,,,True,,Group Human Resources,,,,,,
,,,True,,Group Human Resources,Rewards ＆ HRIS - Rewards,,,,,
,,,True,,Group Human Resources,Rewards ＆ HRIS - Nadi HRIS,,,,,
,,,True,,Group Human Resources,Rewards ＆ HRIS - GHR Payroll,,,,,
,,,True,,Group Human Resources,Talent ＆ Learning - Talent Strategy,,,,,
,,,True,,Group Human Resources,Talent ＆ Learning - Talent Management,,,,,
,,,True,,Group Human Resources,Talent ＆ Learning - Talent Acquisition,,,,,
,,,True,,Group Human Resources,Talent ＆ Learning - Learning ＆ Development,,,,,
,,,True,,Group Human Resources,Talent ＆ Learning - GH Campus,,,,,
,,,True,,Group Human Resources,Talent ＆ Learning - The Crest,,,,,
,,,True,,Group Human Resources,Performance ＆ Analytics - Performance,,,,,
,,,True,,Group Human Resources,Performance ＆ Analytics - Analytics,,,,,
,,,True,,Group Human Resources,Industrial Relations ＆ Compliance,,,,,
,,,True,,Group Human Resources,HR Head Office ＆ Org Design - HR Head Office,,,,,
,,,True,,Group Human Resources,HR Head Office ＆ Org Design - Org Design,,,,,
,,,True,,Group Human Resources,Org Culture ＆ Workplace Services - Org Culture ＆ Transformation,,,,,
,,,True,,Group Human Resources,Org Culture ＆ Workplace Services - Integrated Facilities Management,,,,,
,,,True,,Group Human Resources,Org Culture ＆ Workplace Services - Admin ＆ Sports,,,,,
,,,True,,Group Finance,,,,,,
,,,True,,Group Finance,Finance - Upstream Malaysia,,,,,
,,,True,,Group Finance,Finance - Reporting,,,,,
,,,True,,Group Finance,Finance - Consolidation,,,,,
,,,True,,Group Finance,Corporate Finance,,,,,
,,,True,,Group Finance,Tax,,,,,
,,,True,,Group Finance,Treasury,,,,,
,,,True,,Group Finance,Finance Land ＆ SDGRE,,,,,
,,,True,,Group Finance,Global Procurement,,,,,
,,,True,,Group Finance,Group IT,,,,,
,,,True,,Group Finance,Compliance ＆ Operational Risk,,,,,
,,,True,,"Group Legal, Risk ＆ Compliance",,,,,,
,,,True,,"Group Legal, Risk ＆ Compliance",Group Legal,,,,,
,,,True,,"Group Legal, Risk ＆ Compliance",Group Risk,,,,,
,,,True,,"Group Legal, Risk ＆ Compliance",Group Compliance,,,,,
,,,True,,President's Office,,,,,,
,,,True,,President's Office,Strategic Governance ＆ Communications,,,,,
,,,True,,President's Office,Strategy Partner Malaysia ＆ Indonesia,,,,,
,,,True,,President's Office,Strategy Partner PNG ＆ SI,,,,,
,,,True,,President's Office,Strategy Partner Midstream ＆ Investments,,,,,
,,,True,,President's Office,Strategy Partner Downstream,,,,,
,,,True,,President's Office,Strategic Planning,,,,,
,,,True,,Group Corporate Affairs,,,,,,
,,,True,,Group Corporate Affairs,Global Marketing ＆ Branding - Strategic ＆ Customer Marketing,,,,,
,,,True,,Group Corporate Affairs,Global Marketing ＆ Branding - Product Marketing B2C,,,,,
,,,True,,Group Corporate Affairs,Global Marketing ＆ Branding - Strategic Communications,,,,,
,,,True,,Group Corporate Affairs,Group Operation Services - Workforce Management Unit,,,,,
,,,True,,Group Corporate Affairs,Group Operation Services - Agri Sumber Prestari,,,,,
,,,True,,Group Corporate Affairs,Group Operation Services - Government Relations,,,,,
,,,True,,Group Corporate Affairs,Group Operation Services - Chairman Office,,,,,
,,,True,,Group Corporate Affairs,Group Communications - Strategic Communications,,,,,
,,,True,,Group Corporate Affairs,Group Communications - Brand Communications,,,,,
,,,True,,Group Corporate Affairs,Group Communications - Events ＆ Protocol,,,,,
,,,True,,Group Corporate Affairs,Investor Relations,,,,,
,,,True,,Group Corporate Affairs,Elaeis Garden,,,,,
,,,True,,Group Corporate Affairs,Yayasan Guthrie,,,,,
,,,True,,Group Sustainability,,,,,,
,,,True,,Group Sustainability,Sustainable Supply Chain,,,,,
,,,True,,Group Sustainability,Climate Change ＆ Reporting,,,,,
,,,True,,Group Sustainability,"Global Health, Safety ＆ Environment",,,,,
,,,True,,Group Sustainability,"SDGI Health, Safety ＆ Environment",,,,,
,,,True,,Group Sustainability,Sustainability Compliance,,,,,
,,,True,,Group Sustainability,Conservation ＆ Biodiversity,,,,,
,,,True,,"Group Integrity, Governance ＆ Assurance",,,,,,
,,,True,,"Group Integrity, Governance ＆ Assurance",GCA IT ＆ Analytics,,,,,
,,,True,,"Group Integrity, Governance ＆ Assurance",Group Integrity ＆ Governance Unit,,,,,
,,,True,,"Group Integrity, Governance ＆ Assurance",Group Fraud ＆ Corruption Risk Mgmt,,,,,
,,,True,,"Group Integrity, Governance ＆ Assurance",Practice Management,,,,,
,,,True,,"Group Integrity, Governance ＆ Assurance","GCA UPMY, R＆D ＆ HO",,,,,
,,,True,,"Group Integrity, Governance ＆ Assurance",GCA SDGI,,,,,
,,,True,,Group Corporate Secretarial,,,,,,
,,,True,,Group Corporate Secretarial,Guthrie,,,,,
,,,True,,Group Corporate Secretarial,SDGI,,,,,
