Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Minamas Head Office,,,True,,,,,,,,
,,,True,,CEO Office Administration,,,,,,
,,,True,,CEO Office Administration,Expatriate Formalities,,,,,
,,,True,,CEO Office Administration,General Administration ＆ Building Management,,,,,
,,,True,,Corporate Communication,,,,,,
,,,True,,Corporate Communication,Corporate Social Responsibility ＆ Operations Comms,,,,,
,,,True,,Corporate Communication,Internal ＆ External Comms,,,,,
,,,True,,Corporate Services,,,,,,
,,,True,,Corporate Services,Government Relations,,,,,
,,,True,,Corporate Services,Land Regulation,,,,,
,,,True,,Corporate Services,Licensing ＆ Operation Security,,,,,
,,,True,,Corporate Services,Minority Shareholder Relation,,,,,
,,,True,,Corporate Services,Partnership Development,,,,,
,,,True,,General Accounting,,,,,,
,,,True,,General Accounting,Asset Management,,,,,
,,,True,,General Accounting,General Ledger,,,,,
,,,True,,General Accounting,Holding ＆ Consolidation,,,,,
,,,True,,General Accounting,Tax Compliance,,,,,
,,,True,,Group Compliance,,,,,,
,,,True,,Group Compliance,Group Compliance,,,,,
,,,True,,Group Corporate Assurance,,,,,,
,,,True,,Group Corporate Assurance,Data Intelligence ＆ Investigations,,,,,
,,,True,,Group Corporate Assurance,Estate ＆ Other Operations,,,,,
,,,True,,Group Corporate Assurance,Practice Management,,,,,
,,,True,,Group Corporate Assurance,Project ＆ Mill Operations,,,,,
,,,True,,Group Integrity ＆ Governance,,,,,,
,,,True,,Group Integrity ＆ Governance,Group Integrity ＆ Governance,,,,,
,,,True,,Human Resource Management,,,,,,
,,,True,,Human Resource Management,HR Business Partner and Industrial Relations,,,,,
,,,True,,Human Resource Management,"HR Rewards, Services, and Performance",,,,,
,,,True,,Human Resource Management,Organisation Development and Talent Management,,,,,
,,,True,,Information Technology Services,,,,,,
,,,True,,Information Technology Services,Business Application ＆ Development,,,,,
,,,True,,Information Technology Services,Infrastructure ＆ IT Security,,,,,
,,,True,,Information Technology Services,SAP Strategic Project ＆ Data,,,,,
,,,True,,Legal ＆ Corporate Secretary,,,,,,
,,,True,,Legal ＆ Corporate Secretary,Corporate Secretary,,,,,
,,,True,,Legal ＆ Corporate Secretary,Legal,,,,,
,,,True,,Performance Monitoring Unit ＆ Mechanisation,,,,,,
,,,True,,Performance Monitoring Unit ＆ Mechanisation,Mechanisation,,,,,
,,,True,,Performance Monitoring Unit ＆ Mechanisation,Performance Monitoring Unit,,,,,
,,,True,,Plantation Operation,,,,,,
,,,True,,Plantation Operation,Estate Report,,,,,
,,,True,,Plantation Operation,Management Report,,,,,
,,,True,,Plantation Operation,Mill Report,,,,,
,,,True,,Plantation Operation,Task Force Operation,,,,,
,,,True,,Production ＆ Engineering,,,,,,
,,,True,,Production ＆ Engineering,Engineering,,,,,
,,,True,,Production ＆ Engineering,Production ＆ Operation,,,,,
,,,True,,Risk Management,,,,,,
,,,True,,Risk Management,Risk Management,,,,,
,,,True,,Supply Chain,,,,,,
,,,True,,Supply Chain,Procurement,,,,,
,,,True,,Supply Chain,Logistics,,,,,
,,,True,,Sustainability,,,,,,
,,,True,,Sustainability,"Health, Safety, and Environment",,,,,
,,,True,,Sustainability,Sustainability Compliance ＆ Quality Management,,,,,
,,,True,,Sustainability,"Environment, Social ＆ Governance",,,,,
,,,True,,Sustainability,Health ＆ Medical Services,,,,,
,,,True,,Taxation,,,,,,
,,,True,,Taxation,Taxation,,,,,
,,,True,,Treasury,,,,,,
,,,True,,Treasury,Funding Operations,,,,,
,,,True,,Treasury,Insurance Management,,,,,
,,,True,,Treasury,Payment,,,,,
,,,True,,Treasury,Account Payable,,,,,
,,,True,,Upstream Productivity,,,,,,
,,,True,,Upstream Productivity,Upstream Productivity,,,,,
,,,True,,Value Creation / Value Transformation,,,,,,
,,,True,,Value Creation / Value Transformation,Value Creation / Value Transformation,,,,,
