Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
NBPOL Head Office,,,True,,,,,,,,
,,,True,,Sustainability,,,,,,
,,,True,,Sustainability,Certification,,,,,
,,,True,,Sustainability,"Environment, Safety ＆ Heath",,,,,
,,,True,,Land Department,,,,,,
,,,True,,Land Department,Land Management,,,,,
,,,True,,Land Department,Surveying,,,,,
,,,True,,Legal,,,,,,
,,,True,,Legal,Legal,,,,,
,,,True,,Transformation,,,,,,
,,,True,,Transformation,Transformation,,,,,
,,,True,,Group Corporate Assurance,,,,,,
,,,True,,Group Corporate Assurance,Group Corporate Assurance,,,,,
,,,True,,Engineering ＆ Mill Services,,,,,,
,,,True,,Engineering ＆ Mill Services,Engineering Services,,,,,
,,,True,,Performance Management Unit,,,,,,
,,,True,,Performance Management Unit,Performance Management Unit,,,,,
,,,True,,Corporate Development ＆ Services,,,,,,
,,,True,,Corporate Development ＆ Services,Upstream Support,,,,,
,,,True,,Finance,,,,,,
,,,True,,Finance,Tax,,,,,
,,,True,,Finance,Finance Reporting,,,,,
,,,True,,NBPOL Procurement,,,,,,
,,,True,,NBPOL Procurement,Corporate Office,,,,,
,,,True,,Information Technology,,,,,,
,,,True,,Information Technology,NBPOL IT Application Development,,,,,
,,,True,,Information Technology,NBPOL IT SAP Support,,,,,
,,,True,,Human Resources,,,,,,
,,,True,,Human Resources,HR Strategy ＆ Talent,,,,,
,,,True,,Human Resources,HR Operations,,,,,
,,,True,,Human Resources,Management Academy,,,,,
,,,True,,Human Resources,Travel,,,,,
,,,True,,Human Resources,HRMIS,,,,,
