"Title","TermGuid","FolderUniqueId","FolderUrl","Section"
"Group Head Office > Group Finance","479a74d8-4126-40f0-9b1f-3374de74152b","2a83d93f-2ad4-4a35-aaa5-e129d9f71d01","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance","Group Head Office"
"Group Head Office > Group Finance > Compliance ＆ Operational Risk (CORU)","b60ac538-20bf-423b-a59d-05c2a0471011","e3900a36-03ca-457c-984c-e688b39a43ec","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Compliance ＆ Operational Risk (CORU)","Group Head Office"
"Group Head Office > Group Finance > Finance Land ＆ SDGRE","ea62fa60-ec55-4f93-a11d-18f125a07235","6b27f717-039a-4c13-8d14-24d91fc4fdf0","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Finance Land ＆ SDGRE","Group Head Office"
"Group Head Office > Group Finance > Finance Operations","f36c790e-faf8-4260-a6c1-12d27408cd80","ab59880d-0923-4033-8c3d-4b0ae3d2550f","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Finance Operations","Group Head Office"
"Group Head Office > Group Finance > Finance Upstream Malaysia","2a45aaf0-81c0-4804-b8fb-5f2e20328317","a98034df-e5de-4a99-b1fe-bff46bd19610","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Finance Upstream Malaysia","Group Head Office"
"Group Head Office > Group Finance > Global Strategic Procurement","3384e0fd-87a4-439d-9bb8-c304ba0ddf6d","1dfc4beb-bdbd-433f-8dd1-5c224e308a53","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Global Strategic Procurement","Group Head Office"
"Group Head Office > Group Finance > Group IT ＆ Projects","8e58ad71-a9d4-4c2d-a636-3336799dd649","6c1232b1-458e-46a0-8f35-742f08525262","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Group IT ＆ Projects","Group Head Office"
"Group Head Office > Group Finance > Strategy ＆ Price Risk Management","3117ace3-55dc-4efc-a1d6-89b03932cf56","e79e15ff-69bc-41f7-8777-8cd3b4462406","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Strategy ＆ Price Risk Management","Group Head Office"
"Group Head Office > Group Finance > Tax","12694570-ccae-42cc-9406-e78ea827991e","ac12822b-2502-49bf-b1bc-80e90f2feba3","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Tax","Group Head Office"
"Group Head Office > Group Finance > Treasury","b4ff0cdc-f8a4-4248-8bd9-af9b7eddd888","12a2b2a3-efb9-4182-b0af-a69cfa1f92fc","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Finance/Treasury","Group Head Office"
"Group Head Office > Group Legal, Risk ＆ Compliance","34fc6939-d80d-4212-a062-a5ac727e63b4","ea9301cd-f8d4-4adf-8d69-0e8ab2b6cbb3","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Legal, Risk ＆ Compliance","Group Head Office"
"Group Legal, Risk ＆ Compliance > Group Compliance (GCO)","23786464-ee86-4d97-85a8-35449a88b1d7","fe00be82-aca7-4f18-b7c2-39f66e7960b8","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Legal, Risk ＆ Compliance/Group Compliance (GCO)","Group Head Office"
"Group Legal, Risk ＆ Compliance > Group Legal","5eae1f72-5e69-4b10-ad9c-24accde38e17","a6f45f29-38d6-4b74-a6c5-566e854731bf","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Legal, Risk ＆ Compliance/Group Legal","Group Head Office"
"Group Legal, Risk ＆ Compliance > Group Risk","9df36014-e32d-4c26-aa74-a54262149aa1","c2b6d2bc-1d4c-4f70-bf10-a4e887d24290","/sites/SPFX-Sandbox-Testing-Ground/Staging/Group Head Office/Group Legal, Risk ＆ Compliance/Group Risk","Group Head Office"
